Clock:Tick#,Clock:offsetTime,IMU_ATTI(0):Longitude,IMU_ATTI(0):Latitude,IMU_ATTI(0):press:D,IMU_ATTI(0):alti:D,IMU_ATTI(0):relativeHeight:C,IMU_ATTI(0):absoluteHeight:C,IMU_ATTI(0):numSats,IMU_ATTI(0):roll:C,IMU_ATTI(0):pitch:C,IMU_ATTI(0):yaw:C,IMU_ATTI(0):accelX,IMU_ATTI(0):accelY,IMU_ATTI(0):accelZ,IMU_ATTI(0):accelComposite:C,IMU_ATTI(0):gyroX,IMU_ATTI(0):gyroY,IMU_ATTI(0):gyroZ,IMU_ATTI(0):gyroComposite:C,IMU_ATTI(0):velN,IMU_ATTI(0):velE,IMU_ATTI(0):velD,IMU_ATTI(0):velComposite:C,IMU_ATTI(0):velH:C,IMU_ATTI(0):magX,IMU_ATTI(0):magY,IMU_ATTI(0):magZ,IMU_ATTI(0):magMod:C,IMU_ATTI(0):temperature,IMU_ATTI(0):yawUnWrapped:C,IMU_ATTI(0):tiltInclination:C,IMU_ATTI(0):tiltDirectionEarthFrame:C,IMU_ATTI(0):tiltDirectionBodyFrame:C,IMU_ATTI(0):yaw360:C,IMU_ATTI(0):magYaw:C,IMU_ATTI(0):Yaw-magYaw:C,IMUCalcs(0):PosN:C,IMUCalcs(0):PosE:C,IMUCalcs(0):PosD:C,IMUCalcs(0):height:C,IMUCalcs(0):velN:C,IMUCalcs(0):velE:C,IMUCalcs(0):velD:C,IMUCalcs(0):diffVelN:C,IMUCalcs(0):diffVelE:C,IMUCalcs(0):diffVelD:C,IMUCalcs(0):Lat:C,IMUCalcs(0):Long:C,IMUCalcs(0):VelocityError:C,IMUCalcs(0):PositionError:C,IMUCalcs(0):totalGyroZ:C,IMUCalcs(0):totalGyroX:C,IMUCalcs(0):totalGyroY:C,IMU_ATTI(0):distanceHP:C,IMU_ATTI(0):distanceTravelled:C,IMU_ATTI(0):directionOfTravel[mag]:C,IMU_ATTI(0):directionOfTravel[true]:C,IMU_ATTI(0):quatW:D,IMU_ATTI(0):quatX:D,IMU_ATTI(0):quatY:D,IMU_ATTI(0):quatZ:D,IMU_ATTI(0):agX:D,IMU_ATTI(0):agY:D,IMU_ATTI(0):agZ:D,IMU_ATTI(0):gbX:D,IMU_ATTI(0):gbY:D,IMU_ATTI(0):gbZ:D,IMU_ATTI(0):ty:D,IMU_ATTI(0):tz:D,IMU_ATTI(0):sensor_stat:D,IMU_ATTI(0):filter_stat:D,IMU_ATTI(0):atti_cnt:D,GPS:Long,GPS:Lat,GPS:Date,GPS:Time,GPS:dateTimeStamp,GPS:heightMSL,GPS:hDOP,GPS:pDOP,GPS:sAcc,GPS:numGPS,GPS:numGLNAS,GPS:numSV,GPS:velN,GPS:velE,GPS:velD,GPS:rawDate,GPS:rawTime,Mr_controller:ctrl_tick:D,Mr_controller:ctrl_pitch:D,Mr_controller:ctrl_roll:D,Mr_controller:ctrl_yaw:D,Mr_controller:ctrl_throttle:D,Controller:ctrl_mode:C,Mr_controller:mode_switch:D,Mr_controller:motor_state:D,Mr_controller:sig_level:D,Mr_controller:ctrl_level:D,Mr_controller:in_sim_mode:D,Mr_controller:max_height:D,Mr_controller:max_radius:D,Mr_controller:cur_plan_req:D,Mr_controller:cur_plan:D,Mr_controller:cur_mis_type:D,Mr_controller:cur_mis_req:D,Mr_controller:is_soaring_up:D,Mr_controller:CL_tors:D,Mr_controller:D2H_x:D,Mr_controller:D2H_y:D,Mr_controller:D2H_type:D,Mr_controller:temp_level:D,Mr_controller:throw_fly_inairT:D,Mr_controller:in_wifi:D,Mr_controller:height_level:D,RC_Info:failSafe,RC_Info:dataLost,RC_Info:appLost,RC_Info:sigStrength:C,RC_Info:cur_cmd:D,RC_Info:video_lost,RC_Info:frame_lost,RC_Info:sky_con,RC_Info:gnd_con,RC_Info:connected,RC_Info:m_changed:D,RC_Info:arm_status:D,RC_Info:A:D,RC_Info:E:D,RC_Info:T:D,RC_Info:R:D,RC_Info:U:D,RC_Info:lat:D,RC_Info:lon:D,RC_Info:gps_state:D,RC_Info:pro_rc_enable_flag:D,RC_Info:pro_rc_tilt_perc:D,RC_Info:pro_rc_vert_perc:D,RC_Info:pro_rc_tors_perc:D,MagCali(0):X:D,MagCali(0):Y:D,MagCali(0):Z:D,MagCali(0):Mod:C,MagCali(0):magYaw:C,MagCali(1):X:D,MagCali(1):Y:D,MagCali(1):Z:D,MagCali(1):Mod:C,MagCali(1):magYaw:C,CompassFilter(0):X:D,CompassFilter(0):Y:D,CompassFilter(0):Z:D,CompassFilter(1):X:D,CompassFilter(1):Y:D,CompassFilter(1):Z:D,OA:avoidObst,OA:emergBrake,OA:radiusLimit,OA:airportLimit,OA:groundForceLanding,OA:horizNearBoundary,OA:vertLowLimit,OA:vertAirportLimit,OA:roofLimit,OA:hitGroundLimit,OA:frontDistance,MVO:velX,MVO:velY,MVO:velZ,MVO:posX,MVO:posY,MVO:posZ,MVO:hoverPointUncertainty1,MVO:hoverPointUncertainty2,MVO:hoverPointUncertainty3,MVO:hoverPointUncertainty4,MVO:hoverPointUncertainty5,MVO:hoverPointUncertainty6,MVO:velocityUncertainty1,MVO:velocityUncertainty2,MVO:velocityUncertainty3,MVO:velocityUncertainty4,MVO:velocityUncertainty5,MVO:velocityUncertainty6,MVO:height,MVO:heightUncertainty,AirSpeed:comp_alti:D,AirSpeed:wind_spd:D,AirSpeed:vel_level:D,eventLog,osd_data:flyCState,osd_data:flycCommand,osd_data:flightAction,osd_data:nonGPSCause,osd_data:compassError,osd_data:connectedToRC,osd_data:lowVoltage,osd_data:ModeSwitch,osd_data:gpsUsed,osd_data:visionUsed,osd_data:notEnoughForce,osd_data:flightTime,osd_data:navHealth,osd_data:vpsHeight,osd_data:relativeHeight,usonic:usonic_h,CtrlAllocation:raw_tilt_x,CtrlAllocation:raw_tilt_y,CtrlAllocation:raw_tors,CtrlAllocation:raw_lift,CtrlAllocation:fix_tilt_x,CtrlAllocation:fix_tilt_y,CtrlAllocation:fix_tor,CtrlAllocation:fix_lift,CtrlAllocation:bound_max,CtrlAllocation:bound_min,CtrlAllocation:tors_limit_scale,CtrlAllocation:tilt_scale,CtrlAllocation:lift_diff:C,MotorCtrl:Status,MotorCtrl:PWM:RFront,MotorCtrl:PWM:LFront,MotorCtrl:PWM:LBack,MotorCtrl:PWM:RBack,ATTI_MINI0:s_qw0,ATTI_MINI0:s_qx0,ATTI_MINI0:s_qy0,ATTI_MINI0:s_qz0,ATTI_MINI0:roll:C,ATTI_MINI0:pitch:C,ATTI_MINI0:yaw:C,ATTI_MINI0:s_pgz0,ATTI_MINI0:s_vgz0,ATTI_MINI0:s_agz0,ATTI_MINI0:s_rsv00,ATTI_MINI0:s_rsv10,ATTI_MINI0:s_cnt0,CtrlVelVert:vel_cmd,CtrlVelVert:vel_before,CtrlVelVert:vel_after,CtrlVelVert:vel_fdbk,CtrlVelVert:vel_tag,CtrlVelVert:vel_diff,Attribute|Value,ConvertDatV3,4.3.0
700737254,100.86,113.9589736,22.54265526,104.5243,104.5243,4.424301622,,15,-1.852681617,-5.438656517,-0.046835459,0.002329566,-0.001076442,-1.0063525,1.0063559,-0.29347956,-0.37095615,-1.5133799,1.585578,-0.3836479,0.12291222,0.003515154,0.40287152,0.402856186,1493,1,-142,1499,0.55,-0.046835459,5.741983759,-18.81178593,-18.76495047,359.9531645,0.137203511,0.18403897,-18.29140519,7.662930509,-4.61041518,4.61041518,-0.534734611,0.200615167,0.01050452,-0.151086722,0.077702947,0.006989366,22.5426485,113.9589766,FALSE,FALSE,1.981349246,-9.995468645,-0.866434545,,19.68068886,162.2049734,162.2049734,0.99874365,-0.016168175,-0.04743061,3.59E-04,0.93968666,-0.320051,-0.022086658,0,0,0,55,55,4096,0,42906,0,0,,,,,99.99,99.99,3.75E+07,0,0,0,,,,20151018,222,7124,0,0,0,0,Joystick,2,1,5,5,1,30,50,16,5,14,4,0,0,-17.551975,7.353869,1,0,0,0,0,Hover,,lost,71.42857,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,100,100,100,711,394,1291,1525,-36.58758515,378,431,1271,1394,-61.40495811,203,182,182,108,215,393,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38,,,,,,,0.031999998,0,0,0.031999998,0,0.031999998,0.002,0,0.9987872,0.002,0,0.002,,1000000,0,0.3524372,0,,Joystick,OTHER,NONE,ALREADY,FALSE,Connected,,P,TRUE,FALSE,FALSE,96900,5,4.5,4.4,0.123,2.6720178,11.09609,-0.006394153,40.961094,2.6720178,11.09609,-0.006394153,40.961094,50.70301,0,1,1,0,2,65.85,68.67,56.43,53.12,0.99873966,-0.016240705,-0.04749002,3.61E-04,1.857060512,5.446824977,-0.129807261,104.52436,0.003857397,-0.021978892,0,0,1,0,0,0,0,2,0,,,
700889888,100.894,113.9589736,22.54265514,104.524345,104.524345,4.424347398,,15,-1.737921835,-4.918784232,-0.081866284,0.005365848,0.006461607,-1.0717846,1.0718175,8.023601,53.719357,-2.2604516,54.362278,-0.35003814,0.111417346,-0.012320092,0.36754906,0.36734251,1494,2,-128,1499,0.55,-0.081866284,5.21394753,-19.50263903,-19.42077274,359.9181337,0.071945917,0.153812201,-18.30478241,7.667203995,-4.610457265,4.610457265,-0.534734611,0.200615167,0.006062443,-0.18469647,0.089197821,0.018382535,22.54264838,113.9589767,FALSE,FALSE,1.900936834,-9.877553708,-0.244192667,,19.69415538,162.3178565,162.3178565,0.99896425,-0.015182328,-0.042895537,-6.29E-05,0.92758894,-0.32664162,-0.68915004,0,0,0,55,55,4096,0,42920,0,0,,,,,99.99,99.99,3.75E+07,0,0,0,,,,20151018,222,7126,0,0,0,0,Joystick,2,1,5,5,1,30,50,16,5,14,4,0,0,-17.565485,7.3581996,1,0,0,0,0,Hover,,lost,71.42857,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,100,100,100,714,394,1297,1532,-35.77041618,378,431,1271,1394,-60.19996355,204,182,184,108,215,393,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38,,,,,,,0.031999998,0,0,0.031999998,0,0.031999998,0.002,0,0.99877876,0.002,0,0.002,,1000000,0,0.3524372,0,,Joystick,OTHER,NONE,ALREADY,FALSE,Connected,,P,TRUE,FALSE,FALSE,96900,5,4.5,4.4,0.123,2.9169316,4.4496903,1.2519561,40.13885,2.9169316,4.4496903,1.2519561,40.13885,44.095882,0,1,1,0,2,62.55,63.75,60.93,55.27,0.9988174,-0.015775695,-0.045989487,1.67E-04,1.805042657,5.274133768,-0.102287511,104.52426,-0.00404359,-0.7855997,0,0,1,0,0,0,0,2,0,,,
701046451,100.929,113.9589736,22.54265505,104.52501,104.52501,4.425011155,,15,-1.256202127,-2.700129188,-0.101794086,-0.00433775,-0.010664754,-1.0898185,1.0898793,21.102928,82.28361,-2.8798032,84.99541,-0.32809055,0.10283946,-0.033779345,0.34548575,0.343830435,1498,2,-70,1499,0.55,-0.101794086,2.977259589,-25.0387062,-24.93691211,359.8982059,-0.017762255,0.084031831,-18.3153742,7.670553917,-4.611156627,4.611156627,-0.534734611,0.200615167,0.006062443,-0.206644062,0.097775705,0.039841789,22.54264829,113.9589767,FALSE,FALSE,1.838140358,-9.366936791,2.121212838,,19.70478202,162.5705067,162.5705067,0.99966216,-0.010980093,-0.023549732,-6.30E-04,0.5410168,-0.24405487,-0.85375714,0,0,0,55,55,4096,0,42932,0,0,,,,,99.99,99.99,3.75E+07,0,0,0,,,,20151018,222,7128,0,0,0,0,Joystick,2,1,5,5,1,30,50,16,5,14,4,0,0,-17.579512,7.362662,1,0,0,0,0,Hover,,lost,71.42857,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,100,100,100,714,394,1303,1537,-32.93182168,378,431,1271,1394,-55.25749836,204,182,187,108,215,393,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38,,,,,,,0.031999998,0,0,0.031999998,0,0.031999998,0.002,0,0.99877876,0.002,0,0.002,,1000000,0,0.3524372,0,,Joystick,OTHER,NONE,ALREADY,FALSE,Connected,,P,TRUE,FALSE,FALSE,96900,5,4.5,4.4,0.123,-4.154975,-21.379725,1.647027,38.63385,-4.154975,-21.379725,1.647027,38.63385,55.042583,0,1,1,0,2,50.36,40.58,69.98,71.65,0.99966216,-0.010980093,-0.023549732,-6.30E-04,1.259601788,2.698545932,0.042518079,104.52501,-0.033779345,-0.85375714,0,0,1,0,0,0,1,2,-1,,,
701196578,100.962,113.9589737,22.54265495,104.52658,104.52658,4.426582811,,15,-0.348918636,-0.368012086,-0.131149217,-0.004008611,-7.62E-04,-1.0031269,1.0031352,24.863121,46.347263,-0.80190754,52.601204,-0.31852385,0.09747226,-0.049599238,0.33677644,0.333104016,1499,3,-9,1499,0.55,-0.131149217,0.507119723,-43.60555678,-43.47440757,359.8688508,-0.11256881,0.018580407,-18.32708824,7.674178652,-4.612782506,4.612782506,-0.534734611,0.13337978,0.006062443,-0.216210757,0.035907522,0.055661681,22.54264818,113.9589767,FALSE,FALSE,1.768327784,-8.434736642,4.51973327,,19.71656874,162.9586811,162.9586811,0.99998957,-0.003048543,-0.003208004,-0.001134703,0.08719722,-0.072947234,0.036942344,0,0,0,55,55,4096,0,42946,0,0,,,,,99.99,99.99,3.75E+07,0,0,0,,,,20151018,222,7129,0,0,0,0,Joystick,2,1,5,5,1,30,50,16,5,14,4,0,0,-17.587696,7.3652215,1,0,0,0,0,Hover,,lost,71.42857,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,100,100,100,707,398,1313,1543,-30.16398093,378,431,1271,1394,-49.86953328,202,183,188,108,215,393,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38,,,,,,,0.031999998,0,0,0.031999998,0,0.031999998,0.002,0,0.99877876,0.002,0,0.002,,1000000,0,0.3524372,0,,Joystick,OTHER,NONE,ALREADY,FALSE,Connected,,P,TRUE,FALSE,FALSE,97000,5,4.5,4.4,0.123,-3.8655164,3.1624804,1.6570103,37.91504,-3.8655164,3.1624804,1.6570103,37.91504,44.541595,0,1,1,0,2,64.08,57.1,56.08,57.98,0.9999232,-0.006565768,-0.010456972,-0.001055549,0.753610407,1.197585231,0.113089895,104.52584,-0.047503002,-0.45582566,0,0,1,0,0,0,1,2,-1,,,
701350932,100.996,113.9589737,22.54265486,104.527954,104.527954,4.427956102,,15,0.274806178,0.91698023,-0.117522137,-0.001377409,0.004490801,-0.9562497,0.9562612,17.549154,43.87684,1.8469192,47.292294,-0.3195831,0.09724596,-0.040459804,0.3364924,0.334051081,1499,3,23,1499,0.55,-0.117522137,0.957259312,163.2009625,163.3184847,359.8824779,-0.110437068,0.00708507,-18.33706218,7.677219024,-4.614216602,4.614216602,-0.534734611,0.13337978,0.006062443,-0.215151523,0.036133818,0.046522247,22.54264809,113.9589768,FALSE,FALSE,1.786041952,-7.8086443,5.863733104,,19.7265457,163.0718253,163.0718253,0.99996465,0.002406263,0.00799959,-0.001006348,-0.1301391,0.0371683,0.4083535,0,0,0,55,55,4096,0,42958,0,0,,,,,99.99,99.99,3.75E+07,0,0,0,,,,20151018,222,7131,0,0,0,0,Joystick,2,1,5,5,1,30,50,16,5,14,4,0,0,-17.598867,7.3686485,1,0,0,0,0,Hover,,lost,71.42857,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,100,100,100,704,398,1297,1528,-28.39587301,378,431,1271,1394,-46.84888408,201,183,184,108,215,393,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38,,,,,,,0.031999998,0,0,0.031999998,0,0.031999998,0.002,0,0.9999902,0.002,0,0.002,,1000000,0,0.3524372,0,,Joystick,OTHER,NONE,ALREADY,FALSE,Connected,,P,TRUE,FALSE,FALSE,97000,5,4.5,4.4,0.123,0.57533985,-2.5064104,0.43075496,38.93315,0.57533985,-2.5064104,0.43075496,38.93315,41.543034,0,1,1,0,2,58.35,58.31,61.85,60.6,0.9999791,0.001666312,0.006159589,-0.001026326,-0.191666124,-0.705648073,0.116430477,104.52774,-0.04248261,0.39570785,0,0,1,0,0,0,1,2,-1,,,
701502710,101.03,113.9589737,22.54265476,104.52911,104.52911,4.42911577,,15,0.769990364,2.354122321,-0.116459416,-0.002303737,-0.005070114,-0.9628737,0.9628898,13.317682,33.507187,0.53128445,36.060707,-0.32870552,0.10018574,-0.026481321,0.3446531,0.343634261,1498,3,61,1499,0.55,-0.116459416,2.476579043,161.7800756,161.896535,359.8835406,-0.08331121,0.033148207,-18.34888346,7.680818204,-4.615433766,4.615433766,-0.534734611,0.13337978,0.006062443,-0.206029091,0.033194043,0.032543764,22.54264798,113.9589768,FALSE,FALSE,1.801371471,-7.273037778,7.372140994,,19.73836717,163.0532359,163.0532359,0.999766,0.006738838,0.020534847,-8.78E-04,-0.36947694,0.121284164,0.3576477,0,0,0,55,55,4096,0,42972,0,0,,,,,99.99,99.99,3.75E+07,0,0,0,,,,20151018,222,7133,0,0,0,0,Joystick,2,1,5,5,1,30,50,16,5,14,4,0,0,-17.611702,7.3725543,1,0,0,0,0,Hover,,lost,71.42857,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,100,100,100,704,398,1294,1525,-26.69744523,378,431,1271,1394,-43.89763599,200,183,183,108,215,393,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38,,,,,,,0.031999998,0,0,0.031999998,0,0.031999998,0.002,0,0.9999902,0.002,0,0.002,,1000000,0,0.3524372,0,,Joystick,OTHER,NONE,ALREADY,FALSE,Connected,,P,TRUE,FALSE,FALSE,97000,5,4.5,4.4,0.123,-0.5588504,-3.1853814,0.41833776,39.675556,-0.5588504,-3.1853814,0.41833776,39.675556,41.95113,0,1,1,0,2,59.28,57.85,62.16,62.12,0.999766,0.006738838,0.020534847,-8.78E-04,-0.774122969,-2.352767746,0.084742012,104.52911,-0.026481321,0.3576477,0,0,1,0,0,0,3,2,-3,,,
701655857,101.064,113.9589737,22.54265467,104.52977,104.52977,4.429771897,,15,1.127600392,3.230781459,-0.120276152,0.008497765,0.00675125,-0.9812155,0.9812755,9.486045,25.239338,0.49188468,26.967594,-0.3424881,0.10486964,-0.017545864,0.35861346,0.35818396,1497,3,84,1499,0.55,-0.120276152,3.421118294,160.6564242,160.7767004,359.8797238,-0.051449857,0.068826295,-18.35933948,7.68401145,-4.616110702,4.616110702,-0.534734611,0.13337978,0.006062443,-0.192246501,0.028510138,0.023608307,22.54264789,113.9589768,FALSE,FALSE,1.842935483,-6.897719422,8.273093564,,19.74886757,162.974996,162.974996,0.999554,0.009865683,0.028178446,-7.72E-04,-0.5260155,0.1838315,0.24228927,0,0,0,55,55,4096,0,42984,0,0,,,,,99.99,99.99,3.75E+07,0,0,0,,,,20151018,222,7134,0,0,0,0,Joystick,2,1,5,5,1,30,50,16,5,14,4,0,0,-17.619946,7.3750677,1,0,0,0,0,Hover,,lost,71.42857,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,100,100,100,701,398,1285,1516,-25.7447728,378,431,1271,1394,-42.08281833,200,182,180,108,215,393,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38,,,,,,,0.031999998,0,0,0.031999998,0,0.031999998,0.002,0,0.9999902,0.002,0,0.002,,1000000,0,0.3524372,0,   7134 [L-SEND DATA][ERROR][AddBag] Bag 0 of device 9 is occupied,Joystick,OTHER,NONE,ALREADY,FALSE,Connected,,P,TRUE,FALSE,FALSE,97100,5,4.5,4.4,0.123,-0.6531531,0.5979454,0.30226701,40.098366,-0.6531531,0.5979454,0.30226701,40.098366,41.285294,0,1,1,0,2,61.66,60.52,60.34,60.58,0.99962366,0.008897352,0.025936753,-8.05E-04,-1.021624309,-2.971998588,0.065772176,104.52958,-0.020127166,0.27694482,0,0,1,0,0,0,3,2,-3,,,
701805907,101.097,113.9589738,22.54265456,104.53026,104.53026,4.430260179,,15,1.436752325,4.031506359,-0.125454473,0.005270627,-0.001621801,-0.98400515,0.9840206,8.005124,20.501896,1.958971,22.09632,-0.36361283,0.11240627,-0.01070096,0.38074136,0.380590941,1496,3,105,1499,0.55,-0.125454473,4.278283617,160.2855657,160.4110202,359.8745455,-0.013996366,0.111458108,-18.37217309,7.687959321,-4.616616544,4.616616544,-0.338098719,0.13337978,0.006062443,0.025514111,0.020973511,0.016763403,22.54264778,113.9589769,FALSE,FALSE,1.885999601,-6.582098862,9.096908598,,19.76176672,162.8283474,162.8283474,0.9993025,0.01256844,0.03515777,-6.53E-04,-0.66716135,0.23916976,0.16137597,0,0,0,55,55,4096,0,42998,0,0,,,,,99.99,99.99,3.75E+07,0,0,0,,,,20151018,222,7136,0,0,0,0,Joystick,2,1,5,5,1,30,50,16,5,14,4,0,0,-17.631987,7.378758,1,0,0,0,0,Hover,,lost,71.42857,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,100,100,100,704,394,1279,1512,-24.52914781,378,431,1271,1394,-40.5006357,203,182,178,108,215,393,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38,,,,,,,0.031999998,0,0,0.031999998,0,0.031999998,0.002,0,0.9999902,0.002,0,0.002,,1000000,0,0.35754958,0,,Joystick,OTHER,NONE,ALREADY,FALSE,Connected,,P,TRUE,FALSE,FALSE,97100,5,4.5,4.4,0.123,-0.33482134,-2.0858781,0.25741363,40.240566,-0.33482134,-2.0858781,0.25741363,40.240566,41.736164,0,1,1,0,2,60.15,59.31,62,61.96,0.999339,0.012243308,0.034225106,-6.71E-04,-1.404825817,-3.922614791,0.028868077,104.5302,-0.011529667,0.16910507,0,0,1,0,0,0,3,2,-3,,,
701956133,101.131,113.9589738,22.54265446,104.53051,104.53051,4.430511949,,15,1.620816142,4.57245426,-0.126891944,-0.00642403,-0.009797711,-0.98345745,0.98352724,3.531003,15.586734,1.8597854,16.089533,-0.38527817,0.12014727,-0.006334167,0.403627,0.403577284,1495,3,119,1499,0.55,-0.126891944,4.848933088,160.3885371,160.515429,359.8731081,0.014024397,0.140916341,-18.38386141,7.691588679,-4.616880217,4.616880217,-0.338098719,0.13337978,0.006062443,0.047179446,0.013232507,0.01239661,22.54264767,113.9589769,FALSE,FALSE,1.895596685,-6.39611539,9.678015355,,19.77350904,162.6882132,162.6882132,0.9991041,0.01417672,0.03987194,-5.42E-04,-0.7635824,0.27221054,0.1282113,0,0,0,55,55,4096,0,43010,0,0,,,,,99.99,99.99,3.75E+07,0,0,0,,,,20151018,222,7137,0,0,0,0,Joystick,2,1,5,5,1,30,50,16,5,14,4,0,0,-17.639194,7.380984,1,0,0,0,0,Hover,,lost,71.42857,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,100,100,100,711,391,1288,1522,-23.57313386,378,431,1271,1394,-39.49840381,203,181,182,108,215,393,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38,,,,,,,0.031999998,0,0,0.031999998,0,0.031999998,0.002,0,0.9993757,0.002,0,0.002,,1000000,0,0.35754958,0,,Joystick,OTHER,NONE,ALREADY,FALSE,Connected,,P,TRUE,FALSE,FALSE,97100,5,4.5,4.4,0.123,-0.3475542,-0.49365744,0.1806401,40.34101,-0.3475542,-0.49365744,0.1806401,40.34101,40.755196,0,1,1,0,2,61.01,60.38,61.17,61.27,0.9991974,0.013442222,0.037728924,-5.96E-04,-1.541893893,-4.324697192,0.010185679,104.530396,-0.008399231,0.14265943,0,0,1,0,0,0,0,2,0,,,
702107461,101.164,113.9589739,22.54265433,104.530655,104.530655,4.430656907,,15,1.763522611,4.987280551,-0.125781449,-0.007379748,-0.007254472,-0.9849362,0.98499054,2.147428,7.9064527,1.2782142,8.292001,-0.41349292,0.13019164,-0.002173677,0.43351007,0.433504628,1494,3,130,1499,0.55,-0.125781449,5.286935789,160.4402575,160.5660389,359.8742186,0.038286193,0.164067641,-18.3983992,7.696144586,-4.617033071,4.617033071,-0.338098719,0.13337978,0.006062443,0.075394199,0.00318814,0.00823612,22.54264754,113.9589769,FALSE,FALSE,1.910987659,-6.262502912,10.07948629,,19.78813411,162.534183,162.534183,0.9989349,0.015422201,0.04348644,-4.27E-04,-0.8379366,0.29783282,0.10711839,0,0,0,55,55,4096,0,43024,0,0,,,,,99.99,99.99,3.75E+07,0,0,0,,,,20151018,222,7139,0,0,0,0,Joystick,2,1,5,5,1,30,50,16,5,14,4,0,0,-17.65446,7.3857384,1,0,0,0,0,Hover,,lost,71.42857,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,100,100,100,707,394,1303,1533,-23.3690233,378,431,1271,1394,-38.74207081,202,182,186,108,215,393,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,0.031999998,0,0,0.031999998,0,0.031999998,0.002,0,0.9993757,0.002,0,0.002,,1000000,0,0.35754958,0,,Joystick,OTHER,NONE,ALREADY,FALSE,Connected,,P,TRUE,FALSE,FALSE,97200,5,4.5,4.4,0.123,-0.313046,-0.6359436,0.14698552,40.417686,-0.313046,-0.6359436,0.14698552,40.417686,40.94174,0,1,1,0,2,60.95,60.4,61.29,61.4,0.9989775,0.015129295,0.04260002,-4.59E-04,-1.734424261,-4.883963315,-0.021280868,104.530624,-0.003285915,0.1125231,0,0,1,0,0,0,0,2,0,,,
