Fusion Egress+: R4_DETECTION(timestamp=1743607808.0000000, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=145.3597675, RangeRate=0.0, Pwr=0.0, Az=20.0000000, El=0.0, ID='BEACON-TX-ID:00005555', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607808.0999999, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=119.1193215, RangeRate=0.0, Pwr=0.0, Az=19.9555556, El=0.0, ID='BEACON-TX-ID:00005555', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607808.1999998, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=2.0400000, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607808.2999997, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=2.0599999, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607808.3999996, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=2.0799999, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607808.4999995, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=2.0999999, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607808.5999994, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=2.1199999, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607808.6999993, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=2.1399999, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607808.7999992, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=2.1599998, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607808.8999991, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=2.1799998, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607808.9999990, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=40.8329524, RangeRate=0.0, Pwr=0.0, Az=19.5555560, El=0.0, ID='BEACON-TX-ID:00005555', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
